Cpd,Label,Area,Base Peak,Sample,End,Height,Ions,m/z,RT,Start,Width
68,Cpd 68: 22.345,50626,85.05,Balloons_Sample_1_USE_08_1,22.415,5826,14,85.05,22.345,22.305,0.111
69,Cpd 69: 22.425,76214,103.85,Balloons_Sample_1_USE_08_1,22.493,11036,14,103.85,22.425,22.387,0.107
70,Cpd 70: 22.548,100708,85.05,Balloons_Sample_1_USE_08_1,22.634,8059,17,85.05,22.548,22.484,0.151
71,Cpd 71: 22.820,81363,82.99,Balloons_Sample_1_USE_08_1,22.936,5378,16,82.99,22.82,22.785,0.151
72,Cpd 72: 22.873,98028,90.94,Balloons_Sample_1_USE_08_1,22.917,11224,15,90.94,22.873,22.823,0.093
73,Cpd 73: 22.961,162601,57.87,Balloons_Sample_1_USE_08_1,23.033,91464,3,57.87,22.961,22.922,0.111
74,Cpd 74: 22.996,154026,68.99,Balloons_Sample_1_USE_08_1,23.059,7744,25,68.99,22.996,22.941,0.118
75,Cpd 75: 23.147,3215170,161.1,Balloons_Sample_1_USE_08_1,23.229,275609,66,161.1,23.147,23.107,0.122
76,Cpd 76: 23.216,186809,70.99,Balloons_Sample_1_USE_08_1,23.29,14427,29,70.99,23.216,23.168,0.122
77,Cpd 77: 23.275,77101,57.05,Balloons_Sample_1_USE_08_1,23.313,4444,15,57.05,23.275,23.243,0.071
78,Cpd 78: 23.364,130634,68.99,Balloons_Sample_1_USE_08_1,23.412,11000,20,68.99,23.364,23.315,0.097
79,Cpd 79: 23.452,88339,68.99,Balloons_Sample_1_USE_08_1,23.519,6545,18,68.99,23.452,23.418,0.101
